protein,log2_fold_change,infected_vs_control_p.adj
A0A5F9D7Z7,-0.297630925,0.914
A0A5F9DPF2,-0.405057303,0.914
G1SKN0,-0.265257123,0.914
G1SRE0,-0.308763494,0.914
G1STH0,0.305858876,0.914
G1TM00,-0.249560644,0.914
G1TYM3,-0.861482834,0.914
A0A5F9CBF4,0.266604855,0.915
A0A5F9CCX8,-0.350062358,0.915
A0A5F9DBD2,-0.4185189,0.915
A0A5F9DDL9,-0.25385729,0.915
A0A5F9DLC8,-0.383795194,0.915
G1SF18,-0.744364676,0.915
G1SLD6,0.22069817,0.915
G1SR28,-0.276113502,0.915
G1TAE0,-0.337441736,0.915
G1TVS4,-0.529811858,0.915
P62975,-0.752749102,0.915
A0A5F9DJ89,-0.381723984,0.916
B6V9S9,0.298994752,0.916
G1SGC2,0.590660083,0.916
G1SMZ2,0.353280092,0.916
G1TC07,-0.392441164,0.916
G1U155,-0.588327529,0.916
Q04799,0.260971,0.916
A0A5F9C153,-0.298340218,0.917
A0A5F9DPU2,0.715192626,0.917
G1SYD9,0.221154713,0.917
G1SYE0,0.290155472,0.917
G1T1K7,0.305183689,0.917
G1T386,0.432712765,0.917
G1T3S4,0.503603355,0.917
G1TER3,-0.572831215,0.917
G1TLA5,-0.263079811,0.917
G1TXS5,0.335807501,0.917
P32417,-0.5039573,0.917
A0A5F9C2Q1,0.496472718,0.918
A0A5F9CYK3,-0.266285166,0.918
A0A5F9DGV4,0.200099482,0.918
A0A5F9DRL6,-0.279784701,0.918
A0A5F9DT69,-0.279626859,0.918
G1SHF3,-0.264310017,0.918
G1SIW7,0.319124272,0.918
G1T9T6,0.856875973,0.918
G1TA30,0.220533857,0.918
P51662,-0.621286419,0.918
A0A5F9CFW2,-0.287824364,0.919
A0A5F9CU85,-0.224598274,0.919
A0A5F9DE91,-0.217853163,0.919
A0A5F9DNF9,-0.213599704,0.919
G1SK52,0.250454638,0.919
G1SS18,1.203491044,0.919
G1TTN9,-0.256568801,0.919
G1U410,0.377386593,0.919
G1U9U0,0.19491905,0.919
A0A5F9C0T4,-0.218801194,0.92
A0A5F9CXT8,0.206093969,0.92
A0A5F9DT28,-0.308851526,0.92
G1SCE7,0.24810871,0.92
G1SR29,0.19178426,0.92
G1T120,-0.220715375,0.92
G1T3R2,0.438191152,0.92
G1TAY8,-0.349068007,0.92
G1TIR9,-0.246129512,0.92
G1TJG6,0.266289478,0.92
G1TL06,-0.340558467,0.92
G1TRL8,0.274395933,0.92
Q9TV64,-0.202969736,0.92
A0A5F9C6G3,0.277317522,0.921
A0A5F9DA73,0.341263066,0.921
G1SGB5,-0.499997469,0.921
G1SWY2,0.384567221,0.921
G1SYJ4,0.192916635,0.921
G1T435,0.19396561,0.921
G1TXQ6,0.272002193,0.921
P01832,0.724402989,0.921
A0A5F9C4L5,0.209129665,0.922
A0A5F9CB16,0.21009696,0.922
A0A5F9CB66,-0.209468557,0.922
A0A5S8H548,-0.574253243,0.922
G1SM08,-0.221788221,0.922
G1SN05,0.178917467,0.922
G1SNS5,-0.198305806,0.922
G1TNM3,-0.23701038,0.922
G1TQ58,-0.313632883,0.922
G1TVG8,-0.258310046,0.922
G1U7C6,-0.769082872,0.922
P62143,0.187059276,0.922
A0A5F9DBB4,-0.198576203,0.923
A0A5F9DDY0,0.283220152,0.923
A0A5F9DE09,0.218208391,0.923
A0A5F9DVN5,-0.188045119,0.923
G1SNB4,0.765284964,0.923
G1SQI7,0.25006082,0.923
G1SRD5,-0.246761431,0.923
G1SV32,0.303552879,0.923
G1T134,-0.210449668,0.923
G1T756,-0.320009467,0.923
G1T7G3,0.512351528,0.923
G1T9P2,-0.231019775,0.923
G1TJN0,0.346012103,0.923
G1TSG1,0.308543034,0.923
P14755,0.19849932,0.923
A0A5F9CL34,0.289111667,0.924
A0A5F9CLG3,0.236199871,0.924
A0A5F9CMN8,0.190050071,0.924
G1SG42,-0.167255365,0.924
G1SK48,0.192501212,0.924
G1SKV7,-0.20121887,0.924
G1SP40,0.214534109,0.924
G1SSL0,-0.204384733,0.924
G1T7V5,0.488245952,0.924
G1TBS1,-0.284909623,0.924
G1TM60,0.28535821,0.924
P02252,-0.384373166,0.924
A0A5F9CD14,-0.228126471,0.925
A0A5F9CPT6,-0.156552014,0.925
A0A5F9CUT3,0.369175664,0.925
A0A5F9CW06,-0.20729575,0.925
A0A5F9D1S8,0.200114023,0.925
A0A5F9DEZ3,-0.23171606,0.925
A0A5F9DKR7,-0.264017999,0.925
A0A5F9DUE9,0.369759227,0.925
G1SPR2,-0.378177902,0.925
G1SR25,-0.583922224,0.925
G1SVL7,-0.324683927,0.925
G1TS42,-0.334754272,0.925
O02766,-0.188468682,0.925
A0A5F9CEB1,-0.141117594,0.926
A0A5F9CLN2,-0.191679981,0.926
A0A5F9D3P7,-0.422052206,0.926
G1SCY3,0.274717635,0.926
G1SDU8,0.174538555,0.926
G1SE14,-0.222288585,0.926
G1SH05,0.194469655,0.926
G1SRD2,-0.213923277,0.926
G1T7W7,0.218397577,0.926
G1T9A9,-0.220739228,0.926
G1TCK9,-0.227388964,0.926
G1TQC4,-0.166806534,0.926
A0A5F9CLF4,0.393003694,0.927
A0A5F9CQN2,0.143958292,0.927
A0A5F9D6A8,0.337786817,0.927
A0A5F9DHV4,-0.786457645,0.927
A0A5F9DNQ0,-0.149796828,0.927
G1SF10,0.41723412,0.927
G1SIJ2,-0.139251392,0.927
G1SL42,-0.245874145,0.927
G1SMY3,0.274039288,0.927
G1T4T3,-0.177427083,0.927
G1T4V7,-0.433369023,0.927
G1TD62,-0.15833765,0.927
G1TJ79,0.164000559,0.927
A0A5F9C164,0.259679631,0.928
A0A5F9CTH1,-0.202904414,0.928
A0A5F9D2H9,-0.143248753,0.928
A0A5F9DPL1,0.161850732,0.928
A0A5F9DQR7,-0.144679046,0.928
G1SCW7,0.16274702,0.928
G1SMM6,-0.151928786,0.928
G1T726,-0.152039382,0.928
G1TAW7,0.189059169,0.928
G1THQ5,0.1818491,0.928
A0A5F9C5G3,-0.131651106,0.929
A0A5F9CED7,0.119361063,0.929
A0A5F9CUG0,-0.151171787,0.929
A0A5F9DQF7,-0.341186179,0.929
G1SFS8,0.133274392,0.929
G1SM91,-0.232884053,0.929
G1T7Q5,-0.231195101,0.929
G1T8Y0,-0.166184182,0.929
G1T932,-0.234583105,0.929
G1TH33,0.137483234,0.929
G1TJN8,0.114468766,0.929
G1TR31,-0.222651868,0.929
P11246,0.229205951,0.929
A0A5F9C8S6,0.257268247,0.93
A0A5F9CJJ5,-0.130961147,0.93
A0A5F9CWN9,0.366957464,0.93
A0A5F9CY76,0.192942642,0.93
A0A5F9D345,-0.222774533,0.93
A0A5F9DJ24,0.174658822,0.93
A0A5F9DTD6,-0.146480817,0.93
A0A5F9DTX6,0.177374375,0.93
G1SMG0,-0.2259504,0.93
G1SXN4,0.114577177,0.93
G1T8F7,-0.184464922,0.93
G1T8T7,0.264386727,0.93
G1TPL7,-0.125832194,0.93
G1TX94,0.176170279,0.93
G1U033,0.234163533,0.93
G1U654,0.180225809,0.93
U3KM43,0.145365781,0.93
A0A5F9C0Y5,0.307650257,0.931
A0A5F9DG82,0.182747689,0.931
G1SJZ8,0.115660706,0.931
G1SLD5,-0.132601629,0.931
G1T1U7,0.099142733,0.931
G1TR42,0.127419868,0.931
G1TTJ1,0.123003774,0.931
G1TU17,0.118751377,0.931
G1TUT9,0.167412437,0.931
G1U0Q2,0.648442543,0.931
P00919,0.147906472,0.931
Q7M3I4,0.107226925,0.931
U3KP10,-0.116112097,0.931
A0A5F9C5J1,-0.176411623,0.932
A0A5F9D0S9,-0.175714472,0.932
A0A5F9D9P0,0.148021042,0.932
A0A5F9DBC4,0.100475402,0.932
A0A5F9DR91,0.162092915,0.932
A0A5F9DUI9,0.119583892,0.932
G1SHU3,0.426911062,0.932
G1SIF2,0.14131871,0.932
G1ST96,0.1284497,0.932
G1SZ16,0.109142803,0.932
G1T4K6,0.116171814,0.932
G1TCQ4,-0.121257058,0.932
G1TJ15,0.123360467,0.932
G1U460,0.110403344,0.932
A0A5F9C312,-0.407803104,0.933
A0A5F9CNC6,-0.124645283,0.933
A0A5F9CWV3,0.115034235,0.933
A0A5F9D756,1.185897483,0.933
A0A5F9D8J9,0.130585302,0.933
G1SPZ7,0.107850085,0.933
G1SVD5,0.19541476,0.933
G1SY68,-0.094380982,0.933
G1SZ23,-0.113844378,0.933
G1T782,0.108085807,0.933
G1T960,0.21001241,0.933
G1TNL3,-0.080996222,0.933
G1TS28,0.161737399,0.933
G1U5S4,-0.137213989,0.933
P23612,0.141895683,0.933
Q01971,0.203624091,0.933
A0A5F9CMY2,-0.118028406,0.934
G1SDB3,-0.089620545,0.934
G1SH63,-0.103546692,0.934
G1SMY1,0.102807887,0.934
G1STM6,0.10544707,0.934
G1SWH6,-0.148238772,0.934
G1SWP5,0.148631785,0.934
G1SXZ6,0.158480795,0.934
G1T616,0.115762903,0.934
G1TDI0,-0.100623237,0.934
G1TIC9,0.10459618,0.934
G1TKC4,0.085646159,0.934
P27124,0.105622033,0.934
Q9GKX2,0.111766253,0.934
A0A5F9CAX1,-0.158429372,0.935
A0A5F9CU63,0.092294006,0.935
A0A5F9D4V6,-0.116381766,0.935
A0A5F9DRP1,0.060472891,0.935
G1SL95,0.159417875,0.935
G1SLQ4,0.102223601,0.935
G1T3R4,-0.108779806,0.935
G1TEG1,0.119096292,0.935
G1TI26,0.138726777,0.935
G1TM55,-0.127944323,0.935
G1TMZ2,-0.084234468,0.935
G1TNV7,0.125164829,0.935
G1U642,0.183372283,0.935
G1U9T1,0.092354124,0.935
U3KLT5,0.073109497,0.935
G1SS91,0.11842228,0.936
G1SSL9,-0.062599763,0.936
G1SUY8,0.099736758,0.936
G1SX92,-0.079278156,0.936
G1SY30,0.188794754,0.936
G1SZ14,0.065433265,0.936
G1TES6,-0.067929422,0.936
G1TKG2,0.084048602,0.936
G1TLK9,0.063574581,0.936
P00637,-0.084148314,0.936
Q8HZQ5,0.084372471,0.936
A0A5F9D464,-0.049628744,0.937
A0A5F9DFK3,-0.132014823,0.937
A0A5F9DFZ1,0.133182901,0.937
G1SDB0,-0.137056739,0.937
G1SH60,0.062971663,0.937
G1SIA4,-0.074750949,0.937
G1SJY8,0.087380437,0.937
G1SSC9,0.092659156,0.937
G1SXA5,0.054095547,0.937
G1SY52,-0.071096553,0.937
G1T197,0.062849769,0.937
G1TE41,0.07471192,0.937
G1TRM4,0.064108122,0.937
G1TZB5,0.300851616,0.937
G1U0Q7,-0.056225283,0.937
O77622,-0.054831304,0.937
P68105,0.074281023,0.937
A0A5F9CB11,0.05071293,0.938
A0A5F9CBI8,0.065306745,0.938
A0A5F9DG29,-0.03816288,0.938
G1SLF1,-0.03598446,0.938
G1SRY1,0.049266191,0.938
G1SS70,-0.050556089,0.938
G1T024,-0.069601454,0.938
G1T0H8,0.044038579,0.938
G1T4T5,0.051298147,0.938
G1U0Y6,0.062668492,0.938
Q9TV70,0.054965072,0.938
A0A5F9D8A2,-0.059591772,0.939
G1SFP0,0.020749663,0.939
G1SFV1,-0.034700899,0.939
G1SLI8,0.031696795,0.939
G1SVP7,0.047691243,0.939
G1T671,0.035304709,0.939
G1T8R1,-0.026141648,0.939
G1TNS4,-0.038265152,0.939
P00949,-0.024614489,0.939
A0A5F9C573,0.020720183,0.94
A0A5F9C5I9,0.022901797,0.94
A0A5F9CU16,-0.023046244,0.94
A0A5F9DKC9,0.026477277,0.94
G1SF05,0.011168653,0.94
G1SMA4,-0.043581913,0.94
G1SMM0,-0.026032529,0.94
G1T9U7,-0.039198518,0.94
G1TC19,0.013383638,0.94
G1TCC2,-0.015966472,0.94
G1TRS0,-0.019230678,0.94
P00883,0.015875795,0.94
Q9TT15,-0.033614272,0.94
U3KN77,-0.016617353,0.94
A0A5F9DBQ3,-0.00156966,0.941
A0A5F9DDB7,-0.01039152,0.941
A0A5F9DPE4,0.009215825,0.941
G1SCN8,-0.0109089,0.941
G1SHZ8,0.005579576,0.941
G1SL97,-0.013914997,0.941
G1SNY0,0.001656786,0.941
G1SSZ8,-0.009024494,0.941
G1SV13,-0.000333483,0.941
G1T161,-0.004248594,0.941
G1T1M5,0.00766565,0.941
G1T295,-0.003027852,0.941
G1T2J0,0.017023914,0.941
G1TZE2,-0.008191137,0.941
G1U5L6,0.002402802,0.941
G1U5N5,0.001900226,0.941
P30947,0.004102494,0.941
P36512,0.006398131,0.941
U3KPM4,-0.001147748,0.941
