protein,log2_fold_change,infected_vs_control_p.adj
G1SKN7,3.237648655,0.64
G1TNI4,3.93312088,0.64
A0A5F9D2Z0,2.349277187,0.642
A0A5F9D911,-1.635763388,0.644
A0A5F9CVG0,1.653585305,0.645
A0A5F9CAU6,-1.08258738,0.646
G1T5B7,2.657841732,0.646
A0A5F9CLT4,-4.275947362,0.647
G1TEM7,-0.956136267,0.648
G1TK30,-0.873159853,0.649
G1T1V5,1.023372933,0.65
G1SGN5,-1.696248697,0.651
P09809,-1.165311918,0.651
G1SW00,1.988274409,0.652
A0A5F9D2H6,2.321114246,0.653
G1T2L1,0.961891281,0.655
G1SN14,1.399676382,0.656
G1STW0,1.117299543,0.658
G1U6S0,-0.969615502,0.658
G1SCK5,-2.038523693,0.659
G1T623,-1.405970521,0.66
A0A5F9DR45,-1.797160175,0.663
G1SDL3,-1.069301222,0.666
A0A5F9CQQ0,1.067820427,0.667
G1TKL2,-1.18256585,0.669
A0A5F9C4Q0,-1.324503743,0.671
G1SUQ9,-0.934594176,0.671
A0A5F9D938,-2.558994728,0.673
G1SPF9,-2.892533704,0.673
G1TRK3,-1.034201273,0.675
G1TY53,0.994743938,0.677
Q9GLC3,-1.093474472,0.677
G1SS69,-2.787270797,0.678
G1SHV9,0.826808477,0.679
G1T8B6,1.017761891,0.68
G1T3I9,1.421781225,0.682
G1SFL7,1.786974345,0.683
A0A5F9DP87,1.04094792,0.684
G1TK85,-2.905945362,0.685
A0A5F9CXN7,-1.442878518,0.688
G1SUT9,0.88701686,0.689
G1SDD6,-1.206883717,0.692
G1T2W1,1.147694936,0.692
G1SS85,4.931460353,0.693
U3KLV2,-1.396347645,0.693
G1SQK0,0.956455661,0.694
G1TA83,-1.193218327,0.698
A0A5F9CG95,-2.669743112,0.699
G1SUC8,2.66199044,0.7
A0A5F9DRX2,1.676522265,0.702
G1T849,-1.342607589,0.702
P25915,1.229911811,0.703
G1SZV5,-1.957703267,0.708
G1STB6,-3.665501074,0.71
A0A5F9CVA7,-1.661918655,0.712
G1TWS0,2.509831861,0.712
G1SM77,1.005295718,0.713
A0A5F9CLC1,0.847292871,0.717
G1T784,-0.866563711,0.717
A0A5F9CP30,-0.952571539,0.718
G1SWD1,-0.8666934,0.718
G1SYH2,1.531200046,0.719
A0A5F9CHF0,-1.94684542,0.723
A0A5F9CMJ3,1.115382597,0.724
P21195,-0.908784399,0.726
A0A5F9DTE8,0.74101436,0.727
G1T0J6,-0.991690386,0.727
P67828,-0.986956228,0.728
A0A5F9DRL9,1.015504344,0.73
G1TUH9,-1.790566641,0.73
P02057,-1.692087531,0.73
G1SV41,2.051761845,0.731
A0A5F9C946,-1.590257403,0.732
A0A5F9CCM8,4.430386417,0.732
G1T0U8,-1.320160783,0.733
G1SER3,3.023535592,0.734
G1U415,-1.24394404,0.734
Q59I72,0.9948586,0.734
G1T2F2,-1.019850971,0.735
G1SN16,-2.07694993,0.737
G1U9S2,-1.660679775,0.738
G1SYJ6,-0.732915738,0.739
A0A5F9CGT3,0.87579885,0.741
A0A5F9DM70,-2.593132577,0.741
A0A5F9DCH7,1.055777231,0.742
G1STG2,0.824471179,0.743
G1SVB3,-3.786865527,0.744
A0A5F9CBD5,2.408730804,0.745
G1SMB0,-1.055586245,0.745
P79398,1.613171845,0.745
A0A5F9DGH8,-0.74410685,0.746
G1SIY9,-0.755477163,0.747
G1TMZ7,0.963620548,0.748
A0A5F9D0W7,0.734029557,0.75
G1T2B1,1.542739197,0.75
G1TRC0,1.335943418,0.75
A0A5F9DAY7,-1.936910731,0.751
G1SRL3,-0.804614191,0.751
G1U9R0,-1.233586723,0.753
P15196,-2.545861277,0.754
A0A5F9CHW6,0.882825049,0.755
G1STJ4,-1.401882252,0.755
P01948,-1.57963311,0.755
G1TXN1,-0.974103539,0.756
G1U2E6,2.894715971,0.756
P48738,-1.034293815,0.756
A0A5F9C9X1,1.140078726,0.757
G1SP80,1.008038188,0.757
G1SHC5,-0.875777785,0.758
G1T2U6,-0.692526743,0.759
A0A5F9CTE3,1.621305325,0.761
G1TUU8,-0.845463865,0.761
G1SLQ3,-3.930708658,0.762
A0A5F9CRI2,0.728865441,0.764
A0A5F9DE32,1.294465572,0.764
G1TF44,1.273450941,0.764
G1SKM5,1.063205823,0.765
G1SPR5,-1.229628226,0.765
A0A5F9CPW7,1.001312135,0.768
G1TSM9,1.589707561,0.768
G1U9R8,-1.383968914,0.768
A0A5F9DKW4,2.175287269,0.77
G1SNB1,-0.877199177,0.771
A0A5F9DF54,-0.781992647,0.775
A0A5F9DQ17,0.773839011,0.776
A0A5F9D311,2.651531693,0.778
A0A5F9DJP3,-1.869808316,0.778
G1SG11,-1.62106042,0.78
G1SQ70,-1.05257446,0.78
G1TDR0,-1.868696121,0.78
P53787,0.733432176,0.78
G1T918,1.975484633,0.781
G1TD31,-2.245987971,0.781
G1SU45,-3.630144128,0.783
G1T364,-0.660124493,0.783
G1SUR4,-0.883959904,0.785
G1TEG4,-1.872503447,0.785
A0A5F9C3B7,-1.279418642,0.786
G1TKN4,1.094380082,0.786
G1TMF8,-1.505920107,0.786
G1T3Y8,-0.624227662,0.788
A0A5F9DRT0,0.73222243,0.79
G1SRF7,-0.69410335,0.791
P80405,-3.079296805,0.791
Q9TTJ6,-0.998645993,0.791
G1TBU9,-0.625248607,0.792
G1TK15,1.284819775,0.792
A0A5F9CUY0,0.802121674,0.793
G1SFD8,-0.736550804,0.793
G1U743,0.983311801,0.794
P00169,-0.842335306,0.794
P12789,-3.085272046,0.794
G1SM52,2.05043625,0.795
G1SXG8,-0.77245606,0.795
G1SQ02,0.597399812,0.797
G1SIB9,-0.658110171,0.798
A0A5F9CR64,-1.872540056,0.799
G1TI39,-0.662061074,0.799
G1U891,2.596996991,0.799
A0A5F9CJW0,-1.955641664,0.8
A0A5F9DM61,-0.824218022,0.8
G1SSX2,0.865656824,0.801
