"","name","ID","infected_vs_control_p.val","infected_vs_control_p.adj","significant","infected_vs_control_significant","infected_vs_control_ratio","control_centered","infected_centered"
"1010","tr|G1TV43|G1TV43_RABIT","tr|G1TV43|G1TV43_RABIT",0.086997721494103,0.845,FALSE,FALSE,-3.79,1.9,-1.9
"1011","tr|G1TV79|G1TV79_RABIT","tr|G1TV79|G1TV79_RABIT",0.000917169730507793,0.135,FALSE,FALSE,-1.8,0.899,-0.899
"1012","tr|G1TVG8|G1TVG8_RABIT","tr|G1TVG8|G1TVG8_RABIT",0.501582253904712,0.922,FALSE,FALSE,-0.258,0.129,-0.129
"1013","tr|G1TVS4|G1TVS4_RABIT","tr|G1TVS4|G1TVS4_RABIT",0.40164721225627,0.915,FALSE,FALSE,-0.53,0.265,-0.265
"1014","tr|G1TVS8|G1TVS8_RABIT","tr|G1TVS8|G1TVS8_RABIT",0.162491135282227,0.88,FALSE,FALSE,0.868,-0.434,0.434
"1015","tr|G1TVT0|G1TVT0_RABIT","tr|G1TVT0|G1TVT0_RABIT",0.0854990489798219,0.844,FALSE,FALSE,-0.839,0.42,-0.42
"1016","tr|G1TVX2|G1TVX2_RABIT","tr|G1TVX2|G1TVX2_RABIT",0.00258802228768326,0.285,FALSE,FALSE,2.4,-1.2,1.2
"1017","tr|G1TWP4|G1TWP4_RABIT","tr|G1TWP4|G1TWP4_RABIT",0.00188465290801584,0.236,FALSE,FALSE,1.23,-0.613,0.613
"1018","tr|G1TWS0|G1TWS0_RABIT","tr|G1TWS0|G1TWS0_RABIT",0.0215195129269835,0.712,FALSE,FALSE,2.51,-1.25,1.25
"1019","tr|G1TX83|G1TX83_RABIT","tr|G1TX83|G1TX83_RABIT",0.000856307712060245,0.127,FALSE,FALSE,-1.58,0.789,-0.789
"1020","tr|G1TX94|G1TX94_RABIT","tr|G1TX94|G1TX94_RABIT",0.65896792379966,0.93,FALSE,FALSE,0.176,-0.0881,0.0881
"1021","tr|G1TXB8|G1TXB8_RABIT","tr|G1TXB8|G1TXB8_RABIT",0.102347220843594,0.855,FALSE,FALSE,-0.582,0.291,-0.291
"1022","tr|G1TXF6|G1TXF6_RABIT","tr|G1TXF6|G1TXF6_RABIT",0.35523294589901,0.911,FALSE,FALSE,-0.309,0.155,-0.155
"1023","tr|G1TXF9|G1TXF9_RABIT","tr|G1TXF9|G1TXF9_RABIT",0.169576657299934,0.882,FALSE,FALSE,0.566,-0.283,0.283
"1024","tr|G1TXN1|G1TXN1_RABIT","tr|G1TXN1|G1TXN1_RABIT",0.0307286020756876,0.756,FALSE,FALSE,-0.974,0.487,-0.487
"1025","tr|G1TXQ6|G1TXQ6_RABIT","tr|G1TXQ6|G1TXQ6_RABIT",0.489788761230158,0.921,FALSE,FALSE,0.272,-0.136,0.136
"1026","tr|G1TXS5|G1TXS5_RABIT","tr|G1TXS5|G1TXS5_RABIT",0.422575287237147,0.917,FALSE,FALSE,0.336,-0.168,0.168
"1027","tr|G1TXU8|G1TXU8_RABIT","tr|G1TXU8|G1TXU8_RABIT",0.0569598195772698,0.814,FALSE,FALSE,0.988,-0.494,0.494
"1028","tr|G1TXX4|G1TXX4_RABIT","tr|G1TXX4|G1TXX4_RABIT",0.0618040047039752,0.821,FALSE,FALSE,0.772,-0.386,0.386
"1029","tr|G1TY29|G1TY29_RABIT","tr|G1TY29|G1TY29_RABIT",0.326358735802713,0.908,FALSE,FALSE,1.37,-0.686,0.686
"1030","tr|G1TY53|G1TY53_RABIT","tr|G1TY53|G1TY53_RABIT",0.0168503005841424,0.677,FALSE,FALSE,0.995,-0.497,0.497
"1031","tr|G1TYM3|G1TYM3_RABIT","tr|G1TYM3|G1TYM3_RABIT",0.388801429569631,0.914,FALSE,FALSE,-0.861,0.431,-0.431
"1032","tr|G1TZB5|G1TZB5_RABIT","tr|G1TZB5|G1TZB5_RABIT",0.839150433839089,0.937,FALSE,FALSE,0.301,-0.15,0.15
"1033","tr|G1TZE2|G1TZE2_RABIT","tr|G1TZE2|G1TZE2_RABIT",0.975908007760426,0.941,FALSE,FALSE,-0.00819,0.0041,-0.0041
"1034","tr|G1U032|G1U032_RABIT","tr|G1U032|G1U032_RABIT",0.340149169353736,0.909,FALSE,FALSE,-0.335,0.167,-0.167
"1035","tr|G1U033|G1U033_RABIT","tr|G1U033|G1U033_RABIT",0.669100079407182,0.93,FALSE,FALSE,0.234,-0.117,0.117
"1036","tr|G1U045|G1U045_RABIT","tr|G1U045|G1U045_RABIT",0.0757000392613308,0.836,FALSE,FALSE,2.28,-1.14,1.14
"1037","tr|G1U0B4|G1U0B4_RABIT","tr|G1U0B4|G1U0B4_RABIT",0.000433788851423074,0.0591,FALSE,FALSE,-2.32,1.16,-1.16
"1038","tr|G1U0J7|G1U0J7_RABIT","tr|G1U0J7|G1U0J7_RABIT",0.00724311760010746,0.522,FALSE,FALSE,-1.44,0.72,-0.72
"1039","tr|G1U0Q2|G1U0Q2_RABIT","tr|G1U0Q2|G1U0Q2_RABIT",0.678496425677384,0.931,FALSE,FALSE,0.648,-0.324,0.324
"1040","tr|G1U0Q7|G1U0Q7_RABIT","tr|G1U0Q7|G1U0Q7_RABIT",0.844886504667802,0.937,FALSE,FALSE,-0.0562,0.0281,-0.0281
"1041","tr|G1U0Y6|G1U0Y6_RABIT","tr|G1U0Y6|G1U0Y6_RABIT",0.873009736324233,0.938,FALSE,FALSE,0.0627,-0.0313,0.0313
"1042","tr|G1U0Z7|G1U0Z7_RABIT","tr|G1U0Z7|G1U0Z7_RABIT",0.00390072159248284,0.381,FALSE,FALSE,1.11,-0.555,0.555
"1043","tr|G1U115|G1U115_RABIT","tr|G1U115|G1U115_RABIT",0.0491000853281572,0.802,FALSE,FALSE,0.974,-0.487,0.487
"1044","tr|G1U118|G1U118_RABIT","tr|G1U118|G1U118_RABIT",0.268395324584894,0.901,FALSE,FALSE,-1.27,0.634,-0.634
